time,position_x,position_y,position_z,speed_ms,speed_kmh,forward_speed,sideways_speed,acceleration_ms2,yaw,yaw_rate,raw_steer_x,raw_throttle_y,raw_brake_z,steer_input,handlebar_angle,steer_rate,throttle,brake,is_grounded,harsh_brake,harsh_steer,high_side_slip,high_yaw_rate,risk_score
0.1355,185.2042,0.1146,102.8923,0.0000,0.0000,0.0000,0.0000,0.0000,270.0000,0.0000,-0.1066,-0.1026,0.3216,-0.2248,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0000
0.1952,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0013,270.0012,0.0199,-0.1066,-0.1026,0.3216,-0.2485,-14.1339,236.7119,0.0000,0.0000,1,0,0,0,0,10.0011
0.2460,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,-0.0001,270.0016,0.0072,-0.1066,-0.1026,0.3216,-0.2587,-14.6306,9.7835,0.0000,0.0000,1,0,0,0,0,0.5439
0.3242,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0021,0.0070,-0.1026,-0.1026,0.3196,-0.2597,-15.2063,7.3640,0.0000,0.0000,1,0,0,0,0,0.4095
0.3858,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0025,0.0064,-0.0929,-0.1026,0.3196,-0.2458,-15.2486,0.6873,0.0000,0.0000,1,0,0,0,0,0.0385
0.4429,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0029,0.0069,-0.0929,-0.1026,0.3196,-0.2380,-14.8841,6.3783,0.0000,0.0000,1,0,0,0,0,0.3547
0.4944,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0033,0.0077,-0.0929,-0.1026,0.3196,-0.2347,-14.4604,8.2335,0.0000,0.0000,1,0,0,0,0,0.4578
0.5503,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0037,0.0071,-0.0929,-0.1026,0.3196,-0.2333,-14.2023,4.6182,0.0000,0.0000,1,0,0,0,0,0.2570
0.6139,185.2043,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0042,0.0077,-0.0929,-0.1026,0.3196,-0.2326,-14.0804,1.9156,0.0000,0.0000,1,0,0,0,0,0.1068
0.6743,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0044,0.0035,-0.0929,-0.1026,0.3196,-0.2324,-14.0075,1.2085,0.0000,0.0000,1,0,0,0,0,0.0673
0.7335,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0048,0.0062,-0.0929,-0.1026,0.3196,-0.2323,-13.9707,0.6214,0.0000,0.0000,1,0,0,0,0,0.0349
0.7955,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0051,0.0049,-0.0929,-0.1026,0.3196,-0.2322,-13.9509,0.3188,0.0000,0.0000,1,0,0,0,0,0.0180
0.8544,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0054,0.0052,-0.0929,-0.1026,0.3216,-0.2322,-13.9412,0.1646,0.0000,0.0000,1,0,0,0,0,0.0094
0.9166,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0057,0.0059,-0.0987,-0.1026,0.3216,-0.2363,-13.9549,0.2206,0.0000,0.0000,1,0,0,0,0,0.0126
0.9684,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0060,0.0059,-0.1026,-0.1026,0.3216,-0.2461,-14.1994,4.7206,0.0000,0.0000,1,0,0,0,0,0.2626
1.0324,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0064,0.0057,-0.1066,-0.1026,0.3216,-0.2583,-14.5555,5.5700,0.0000,0.0000,1,0,0,0,0,0.3098
1.0859,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0067,0.0046,-0.1105,-0.1026,0.3216,-0.2671,-15.2160,12.3438,0.0000,0.0000,1,0,0,0,0,0.6860
1.1414,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0070,0.0055,-0.1124,-0.1026,0.3216,-0.2751,-15.8243,10.9609,0.0000,0.0000,1,0,0,0,0,0.6092
1.1924,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0072,0.0048,-0.1124,-0.1026,0.3216,-0.2785,-16.2005,7.3775,0.0000,0.0000,1,0,0,0,0,0.4101
1.2476,185.2043,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0075,0.0050,-0.1124,-0.1026,0.3216,-0.2800,-16.4836,5.1249,0.0000,0.0000,1,0,0,0,0,0.2850
1.3043,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0078,0.0048,-0.1124,-0.1026,0.3216,-0.2806,-16.6470,2.8820,0.0000,0.0000,1,0,0,0,0,0.1604
1.3556,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0080,0.0048,-0.1105,-0.0968,0.3216,-0.2789,-16.7333,1.6815,0.0000,0.0000,1,0,0,0,0,0.0937
1.4191,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0083,0.0043,-0.1007,-0.0811,0.3216,-0.2677,-16.5961,2.1617,0.0000,0.0000,1,0,0,0,0,0.1203
1.4792,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0086,0.0056,-0.0948,-0.0713,0.3216,-0.2502,-16.0353,9.3352,0.0000,0.0000,1,0,0,0,0,0.5189
