time,position_x,position_y,position_z,speed_ms,speed_kmh,forward_speed,sideways_speed,acceleration_ms2,yaw,yaw_rate,raw_steer_x,raw_throttle_y,raw_brake_z,steer_input,handlebar_angle,steer_rate,throttle,brake,is_grounded,harsh_brake,harsh_steer,high_side_slip,high_yaw_rate,risk_score
0.1075,185.2042,0.1687,102.8923,0.0000,0.0000,0.0000,0.0000,0.0000,270.0000,0.0000,-0.1203,-0.1046,0.3666,-0.2228,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0000
0.1683,185.2042,0.0894,102.8923,0.0006,0.0021,-0.0001,0.0006,0.0097,270.0007,0.0121,-0.1203,-0.1046,0.3666,-0.2724,-14.1464,232.8445,0.0000,0.0000,1,0,0,0,0,10.0007
0.2231,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,-0.0097,270.0012,0.0078,-0.1203,-0.1046,0.3666,-0.2885,-15.5462,25.5071,0.0000,0.0000,1,0,0,0,0,1.4175
0.2855,185.2042,0.0864,102.8923,0.0001,0.0002,0.0000,0.0001,0.0000,270.0015,0.0049,-0.1203,-0.1046,0.3666,-0.2954,-16.6379,17.5165,0.0000,0.0000,1,0,0,0,0,0.9734
0.3381,185.2043,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0018,0.0070,-0.1203,-0.1046,0.3666,-0.2984,-17.2819,12.2250,0.0000,0.0000,1,0,0,0,0,0.6796
0.3947,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0021,0.0054,-0.1203,-0.1046,0.3666,-0.2997,-17.6133,5.8550,0.0000,0.0000,1,0,0,0,0,0.3256
0.4585,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0025,0.0062,-0.1203,-0.1046,0.3666,-0.3003,-17.8286,3.3753,0.0000,0.0000,1,0,0,0,0,0.1879
0.5455,185.2042,0.0864,102.8923,0.0001,0.0002,0.0000,0.0001,0.0000,270.0031,0.0060,-0.1203,-0.1046,0.3666,-0.3006,-17.9372,1.2479,0.0000,0.0000,1,0,0,0,0,0.0697
0.5962,185.2043,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0033,0.0048,-0.1203,-0.1046,0.3666,-0.3006,-18.0118,1.4740,0.0000,0.0000,1,0,0,0,0,0.0822
0.6490,185.2043,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0037,0.0069,-0.1203,-0.1046,0.3666,-0.3006,-18.0238,0.2263,0.0000,0.0000,1,0,0,0,0,0.0130
0.7085,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0040,0.0051,-0.1203,-0.1046,0.3666,-0.3006,-18.0312,0.1243,0.0000,0.0000,1,0,0,0,0,0.0072
0.7664,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0043,0.0058,-0.1203,-0.1046,0.3666,-0.3006,-18.0350,0.0656,0.0000,0.0000,1,0,0,0,0,0.0040
0.8194,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0045,0.0040,-0.1203,-0.1046,0.3666,-0.3006,-18.0365,0.0293,0.0000,0.0000,1,0,0,0,0,0.0019
0.8781,185.2043,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0049,0.0062,-0.1203,-0.1046,0.3666,-0.3006,-18.0376,0.0178,0.0000,0.0000,1,0,0,0,0,0.0013
0.9391,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0052,0.0050,-0.1203,-0.1046,0.3666,-0.3006,-18.0380,0.0073,0.0000,0.0000,1,0,0,0,0,0.0007
1.0091,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0055,0.0048,-0.1203,-0.1046,0.3666,-0.3006,-18.0382,0.0029,0.0000,0.0000,1,0,0,0,0,0.0004
1.0629,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0058,0.0051,-0.1203,-0.1046,0.3666,-0.3006,-18.0384,0.0029,0.0000,0.0000,1,0,0,0,0,0.0004
1.1145,185.2042,0.0864,102.8923,0.0001,0.0002,0.0000,0.0001,0.0000,270.0061,0.0059,-0.1203,-0.1046,0.3666,-0.3006,-18.0384,0.0008,0.0000,0.0000,1,0,0,0,0,0.0004
1.1648,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0063,0.0049,-0.1203,-0.1046,0.3666,-0.3006,-18.0384,0.0003,0.0000,0.0000,1,0,0,0,0,0.0003
1.2246,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0067,0.0051,0.0000,0.0000,0.0000,-0.1811,-18.0384,0.0002,0.0000,0.0000,1,0,0,0,0,0.0003
