time,position_x,position_y,position_z,speed_ms,speed_kmh,forward_speed,sideways_speed,acceleration_ms2,yaw,yaw_rate,raw_steer_x,raw_throttle_y,raw_brake_z,steer_input,handlebar_angle,steer_rate,throttle,brake,is_grounded,harsh_brake,harsh_steer,high_side_slip,high_yaw_rate,risk_score
0.1173,185.2042,0.1429,102.8923,0.0000,0.0000,0.0000,0.0000,0.0000,270.0000,0.0000,-0.0929,-0.0929,0.3060,-0.1814,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0000
0.1776,185.2043,0.0865,102.8924,0.0001,0.0003,0.0000,0.0001,0.0015,270.0011,0.0187,-0.0929,-0.0929,0.3060,-0.2138,-11.4116,189.1180,0.0000,0.0000,1,0,0,0,0,10.0010
0.2450,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,-0.0003,270.0016,0.0063,-0.0929,-0.0929,0.3060,-0.2255,-12.4866,15.9672,0.0000,0.0000,1,0,0,0,0,0.8874
0.3229,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0021,0.0070,-0.0929,-0.0929,0.3060,-0.2302,-13.1240,8.1768,0.0000,0.0000,1,0,0,0,0,0.4547
0.3893,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0026,0.0069,-0.0929,-0.0929,0.3060,-0.2315,-13.6591,8.0654,0.0000,0.0000,1,0,0,0,0,0.4485
0.4532,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0030,0.0067,-0.0929,-0.0929,0.3060,-0.2319,-13.7976,2.1674,0.0000,0.0000,1,0,0,0,0,0.1208
0.5355,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0036,0.0074,-0.0929,-0.0929,0.3060,-0.2321,-13.8558,0.7065,0.0000,0.0000,1,0,0,0,0,0.0397
0.5901,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0040,0.0078,-0.0929,-0.0929,0.3060,-0.2322,-13.9094,0.9809,0.0000,0.0000,1,0,0,0,0,0.0549
0.6456,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0043,0.0050,-0.0929,-0.0929,0.3060,-0.2322,-13.9210,0.2097,0.0000,0.0000,1,0,0,0,0,0.0119
0.7044,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0046,0.0047,-0.0929,-0.0929,0.3060,-0.2322,-13.9266,0.0955,0.0000,0.0000,1,0,0,0,0,0.0056
