time,position_x,position_y,position_z,speed_ms,speed_kmh,forward_speed,sideways_speed,acceleration_ms2,yaw,yaw_rate,raw_steer_x,raw_throttle_y,raw_brake_z,steer_input,handlebar_angle,steer_rate,throttle,brake,is_grounded,harsh_brake,harsh_steer,high_side_slip,high_yaw_rate,risk_score
0.2193,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0003,270.0011,0.0050,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0003
0.3043,185.2043,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0016,0.0061,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0003
0.5071,185.2042,0.0864,102.8923,0.0001,0.0002,0.0000,0.0001,0.0000,270.0028,0.0059,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0003
0.5718,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0032,0.0057,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0003
0.6297,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0035,0.0058,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0003
0.6919,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0039,0.0064,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0004
0.7540,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0042,0.0049,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0003
0.8134,185.2043,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0045,0.0051,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0003
0.8648,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0048,0.0047,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0003
0.9182,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0051,0.0057,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0003
0.9742,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0054,0.0055,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0003
1.0302,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0056,0.0044,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0002
1.0866,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0059,0.0054,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0003
1.1560,185.2042,0.0864,102.8923,0.0001,0.0002,0.0000,0.0001,0.0000,270.0063,0.0062,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0003
1.2117,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0066,0.0044,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0002
1.2655,185.2042,0.0864,102.8923,0.0001,0.0002,0.0000,0.0001,0.0000,270.0069,0.0051,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0003
1.3218,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0071,0.0038,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0002
1.3764,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0072,0.0022,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0001
1.4337,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0075,0.0048,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0003
1.4873,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0077,0.0034,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0002
1.5431,185.2042,0.0864,102.8923,0.0001,0.0002,0.0000,0.0001,0.0000,270.0079,0.0044,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0002
1.5992,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0081,0.0038,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0002
1.6538,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0082,0.0022,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0001
1.7241,185.2042,0.0864,102.8923,0.0001,0.0002,0.0000,0.0001,0.0000,270.0085,0.0039,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0002
1.7819,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0087,0.0037,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0002
1.8358,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0089,0.0040,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0002
1.8914,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0092,0.0038,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0002
1.9498,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0093,0.0026,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0001
2.0018,185.2042,0.0864,102.8923,0.0001,0.0002,0.0000,0.0001,0.0000,270.0095,0.0041,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0002
2.0577,185.2042,0.0864,102.8923,0.0001,0.0002,0.0000,0.0001,0.0000,270.0097,0.0038,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0002
2.1143,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0099,0.0038,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0002
2.1702,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0103,0.0055,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0003
2.2386,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0106,0.0054,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0003
2.2943,185.2042,0.0864,102.8923,0.0001,0.0002,0.0000,0.0001,0.0000,270.0109,0.0055,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0003
2.3497,185.2042,0.0864,102.8923,0.0001,0.0002,0.0000,0.0001,0.0000,270.0112,0.0050,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0003
2.4046,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0115,0.0050,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0003
2.4809,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0119,0.0056,-0.0147,-0.1026,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0003
2.8637,185.2042,0.0864,102.8924,0.0001,0.0002,0.0000,0.0001,0.0000,270.0142,0.0059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0.0003
