time,position_x,position_y,position_z,speed_ms,speed_kmh,forward_speed,sideways_speed,acceleration_ms2,yaw,yaw_rate,raw_steer_x,raw_throttle_y,raw_brake_z,steer_input,handlebar_angle,steer_rate,throttle,brake,is_grounded,harsh_brake,harsh_steer,high_side_slip,high_yaw_rate,risk_score
0.1227,185.0974,0.1350,102.8923,2.8031,10.0911,2.8031,0.0017,22.8473,269.9398,-0.4908,-0.0440,0.7400,0.3001,-0.0897,0.0000,0.0000,0.7606,0.0000,1,0,0,0,0,0.0361
0.1849,184.9378,0.0864,102.8914,2.4716,8.8979,2.4716,0.0089,-5.3256,269.8459,-1.5078,-0.0440,0.7400,0.3001,-0.1012,-5.5993,89.9691,0.8828,0.0000,1,0,0,0,0,5.1358
0.2504,184.7051,0.0864,102.8901,4.6048,16.5773,4.6048,0.0027,32.6024,269.7251,-1.8470,-0.0440,0.7400,0.3001,-0.1068,-5.9887,5.9511,0.9503,0.0000,1,0,0,0,0,0.4420
0.3292,184.2342,0.0864,102.8871,7.2751,26.1904,7.2751,0.0078,33.8585,269.5428,-2.3113,-0.0440,0.7400,0.3001,-0.1090,-6.2550,3.3772,0.9817,0.0000,1,0,0,0,0,0.3320
0.3985,183.6420,0.0864,102.8822,9.6232,34.6435,9.6232,0.0208,33.9070,269.3539,-2.7287,-0.0440,0.7400,0.3001,-0.1096,-6.4795,3.2416,0.9923,0.0000,1,0,0,0,0,0.3641
0.4638,182.9264,0.0864,102.8745,11.9932,43.1755,11.9931,0.0377,36.2510,269.1358,-3.3352,-0.0440,0.7400,0.3001,-0.1099,-6.5444,0.9926,0.9967,0.0000,1,0,0,0,0,0.2876
0.5414,181.8800,0.0864,102.8596,14.7695,53.1701,14.7693,0.0627,35.7927,268.8450,-3.7491,-0.0440,0.7400,0.3001,-0.1099,-6.5680,0.3039,0.9988,0.0000,1,0,0,0,0,0.2888
0.5943,181.0429,0.0864,102.8447,16.7556,60.3200,16.7554,0.0838,37.5508,268.6136,-4.3759,-0.0440,0.7400,0.3001,-0.1100,-6.5888,0.3928,0.9994,0.0000,1,0,0,0,0,0.3399
0.6455,180.1381,0.0864,102.8258,18.7427,67.4736,18.7424,0.1076,38.8244,268.3624,-4.9078,-0.0440,0.7400,0.3001,-0.1100,-6.5933,0.0897,0.9997,0.0000,1,0,0,0,0,0.3638
0.7034,179.0005,0.0864,102.7977,20.7304,74.6293,20.7299,0.1345,34.3148,268.0915,-4.6763,-0.0440,0.7400,0.3001,-0.1100,-6.5960,0.0463,0.9999,0.0000,1,0,0,0,0,0.3597
0.7544,177.9007,0.0864,102.7660,22.3206,80.3541,22.3200,0.1583,31.1963,267.8604,-4.5326,-0.0440,0.7400,0.3001,-0.1100,-6.5973,0.0245,0.9999,0.0000,1,0,0,0,0,0.3595
0.8066,176.6776,0.0864,102.7258,24.3084,87.5104,24.3077,0.1900,38.0873,267.5540,-5.8711,-0.0440,0.7400,0.3001,-0.1100,-6.5979,0.0127,1.0000,0.0000,1,0,0,0,0,0.4441
