time,position_x,position_y,position_z,speed_ms,speed_kmh,forward_speed,sideways_speed,acceleration_ms2,yaw,yaw_rate,raw_steer_x,raw_throttle_y,raw_brake_z,steer_input,handlebar_angle,steer_rate,throttle,brake,is_grounded,harsh_brake,harsh_steer,high_side_slip,high_yaw_rate,risk_score
0.1269,185.0537,0.1312,102.8923,1.8749,6.7496,1.8749,0.0022,14.7709,269.8660,-1.0560,-0.1066,0.5073,0.3001,-0.2172,0.0000,0.0000,0.4927,1.0000,1,1,0,0,0,25.0763
0.1892,185.0048,0.0864,102.8916,0.1698,0.6114,0.1698,0.0022,-27.3772,269.7281,-2.2133,-0.1066,0.5073,0.3001,-0.2485,-13.7308,220.4673,0.4927,1.0000,1,0,0,0,0,15.1230
0.2589,184.9775,0.0864,102.8912,0.6122,2.2039,0.6122,0.0025,6.3484,269.6121,-1.6646,-0.1066,0.5073,0.3001,-0.2599,-14.6186,12.7402,0.4927,1.0000,1,0,0,0,0,5.8622
0.3171,184.9359,0.0864,102.8906,0.8051,2.8984,0.8051,0.0026,3.3121,269.5056,-1.8286,-0.1066,0.5073,0.3001,-0.2636,-15.0650,7.6644,0.4927,1.0000,1,0,0,0,0,5.5757
0.3748,184.8859,0.0864,102.8899,0.9123,3.2842,0.9123,0.0025,1.8598,269.3945,-1.9277,-0.1066,0.5073,0.3001,-0.2652,-15.5941,9.1810,0.4927,1.0000,1,0,0,0,0,5.6591
0.4421,184.8218,0.0864,102.8889,0.9800,3.5282,0.9800,0.0025,1.0070,269.2582,-2.0262,-0.1066,0.5073,0.3001,-0.2659,-15.8006,3.0700,0.4927,1.0000,1,0,0,0,0,5.3213
0.4928,184.7712,0.0864,102.8880,1.0094,3.6337,1.0094,0.0025,0.5778,269.1432,-2.2650,-0.1066,0.5073,0.3001,-0.2662,-15.8918,1.7957,0.4927,1.0000,1,1,0,0,0,25.2623
0.5501,184.7129,0.0864,102.8869,1.0257,3.6925,1.0257,0.0024,0.2851,269.0277,-2.0171,-0.1066,0.5073,0.3001,-0.2663,-15.9411,0.8611,0.4927,1.0000,1,1,0,0,0,25.1956
0.6078,184.6534,0.0864,102.8856,1.0348,3.7252,1.0348,0.0024,0.1570,268.9117,-2.0075,-0.1066,0.5073,0.3001,-0.2663,-15.9603,0.3324,0.4927,1.0000,1,1,0,0,0,25.1652
0.6626,184.5966,0.0864,102.8842,1.0398,3.7433,1.0398,0.0024,0.0922,268.7956,-2.1213,-0.1066,0.5073,0.3001,-0.2664,-15.9723,0.2199,0.4927,1.0000,1,1,0,0,0,25.1650
0.7156,184.5414,0.0864,102.8828,1.0426,3.7533,1.0426,0.0024,0.0523,268.6794,-2.1915,-0.1066,0.5073,0.3001,-0.2664,-15.9773,0.0930,0.4927,1.0000,1,1,0,0,0,25.1618
0.7700,184.4846,0.0864,102.8812,1.0441,3.7588,1.0441,0.0024,0.0279,268.5632,-2.1369,-0.1066,0.5073,0.3001,-0.2664,-15.9800,0.0511,0.4927,1.0000,1,1,0,0,0,25.1563
0.8220,184.4304,0.0864,102.8796,1.0450,3.7621,1.0450,0.0024,0.0180,268.4470,-2.2352,-0.1066,0.5073,0.3001,-0.2664,-15.9814,0.0258,0.4927,1.0000,1,1,0,0,0,25.1604
0.8838,184.3658,0.0864,102.8776,1.0454,3.7636,1.0454,0.0024,0.0065,268.3307,-1.8811,-0.1066,0.5073,0.3001,-0.2664,-15.9823,0.0142,0.4927,1.0000,1,1,0,0,0,25.1400
0.9473,184.2995,0.0864,102.8753,1.0458,3.7648,1.0458,0.0024,0.0051,268.1912,-2.1993,-0.1066,0.5073,0.3001,-0.2664,-15.9827,0.0069,0.4927,1.0000,1,1,0,0,0,25.1573
1.0034,184.2409,0.0864,102.8732,1.0459,3.7653,1.0459,0.0024,0.0025,268.0748,-2.0728,-0.1066,0.5073,0.3001,-0.2664,-15.9829,0.0034,0.4927,1.0000,1,1,0,0,0,25.1500
1.0693,184.1720,0.0864,102.8706,1.0460,3.7656,1.0460,0.0024,0.0012,267.9352,-2.1184,-0.1066,0.5073,0.3001,-0.2664,-15.9830,0.0014,0.4927,1.0000,1,1,0,0,0,25.1525
1.1265,184.1122,0.0864,102.8681,1.0460,3.7655,1.0460,0.0024,-0.0002,267.8188,-2.0359,-0.1066,0.5073,0.3001,-0.2664,-15.9830,0.0008,0.4927,1.0000,1,1,0,0,0,25.1478
1.1803,184.0560,0.0864,102.8657,1.0460,3.7658,1.0460,0.0024,0.0012,267.7024,-2.1610,-0.1066,0.5073,0.3001,-0.2664,-15.9830,0.0003,0.4927,1.0000,1,1,0,0,0,25.1548
1.2346,183.9993,0.0864,102.8632,1.0460,3.7658,1.0460,0.0024,0.0001,267.5860,-2.1465,-0.1066,0.5073,0.3001,-0.2664,-15.9831,0.0001,0.4927,1.0000,1,1,0,0,0,25.1540
1.2972,183.9339,0.0864,102.8601,1.0461,3.7659,1.0461,0.0024,0.0004,267.4696,-1.8580,-0.1066,0.5073,0.3001,-0.2664,-15.9831,0.0001,0.4927,1.0000,1,1,0,0,0,25.1378
1.3538,183.8748,0.0864,102.8572,1.0460,3.7657,1.0460,0.0024,-0.0010,267.3532,-2.0576,-0.1066,0.5073,0.3001,-0.2664,-15.9831,0.0000,0.4927,1.0000,1,1,0,0,0,25.1488
1.4086,183.8175,0.0864,102.8543,1.0461,3.7658,1.0461,0.0024,0.0009,267.2368,-2.1219,-0.1066,0.5073,0.3001,-0.2664,-15.9831,0.0000,0.4927,1.0000,1,1,0,0,0,25.1524
1.4639,183.7597,0.0864,102.8512,1.0460,3.7657,1.0460,0.0024,-0.0006,267.1205,-2.1040,-0.1066,0.5073,0.3001,-0.2664,-15.9831,0.0000,0.4927,1.0000,1,1,0,0,0,25.1514
1.5154,183.7060,0.0864,102.8483,1.0460,3.7658,1.0460,0.0024,0.0003,267.0041,-2.2636,-0.1066,0.5073,0.3001,-0.2664,-15.9831,0.0000,0.4927,1.0000,1,1,0,0,0,25.1604
1.5726,183.6461,0.0864,102.8449,1.0460,3.7657,1.0460,0.0024,-0.0003,266.8877,-2.0315,-0.1066,0.5073,0.3001,-0.2664,-15.9831,0.0000,0.4927,1.0000,1,1,0,0,0,25.1475
1.6287,183.5875,0.0864,102.8414,1.0461,3.7658,1.0461,0.0024,0.0005,266.7713,-2.0750,-0.1066,0.5073,0.3001,-0.2664,-15.9831,0.0000,0.4927,1.0000,1,1,0,0,0,25.1499
1.6850,183.5287,0.0864,102.8378,1.0461,3.7659,1.0461,0.0024,0.0004,266.6549,-2.0661,-0.1066,0.5073,0.3001,-0.2664,-15.9831,0.0000,0.4927,1.0000,1,1,0,0,0,25.1493
1.7434,183.4679,0.0864,102.8340,1.0461,3.7658,1.0460,0.0024,-0.0005,266.5153,-2.3942,-0.1066,0.5073,0.3001,-0.2664,-15.9831,0.0000,0.4927,1.0000,1,1,0,0,0,25.1678
1.7995,183.4093,0.0864,102.8301,1.0461,3.7658,1.0461,0.0024,0.0001,266.3989,-2.0751,-0.1066,0.5073,0.3001,-0.2664,-15.9831,0.0000,0.4927,1.0000,1,1,0,0,0,25.1500
1.8563,183.3501,0.0864,102.8261,1.0460,3.7657,1.0460,0.0024,-0.0004,266.2826,-2.0471,-0.1066,0.5073,0.3001,-0.2664,-15.9831,0.0000,0.4927,1.0000,1,1,0,0,0,25.1485
1.9144,183.2895,0.0864,102.8219,1.0461,3.7658,1.0461,0.0024,0.0003,266.1661,-2.0049,-0.1066,0.5073,0.3001,-0.2664,-15.9831,0.0000,0.4927,1.0000,1,1,0,0,0,25.1460
1.9689,183.2326,0.0864,102.8178,1.0461,3.7659,1.0461,0.0024,0.0005,266.0498,-2.1327,-0.1066,0.5073,0.3001,-0.2664,-15.9831,0.0000,0.4927,1.0000,1,1,0,0,0,25.1532
2.0215,183.1777,0.0864,102.8138,1.0461,3.7659,1.0461,0.0024,-0.0002,265.9334,-2.2151,-0.1066,0.5073,0.3001,-0.2664,-15.9831,0.0000,0.4927,1.0000,1,1,0,0,0,25.1578
2.0772,183.1196,0.0864,102.8094,1.0461,3.7658,1.0461,0.0024,-0.0002,265.8171,-2.0856,-0.1066,0.5073,0.3001,-0.2664,-15.9831,0.0000,0.4927,1.0000,1,1,0,0,0,25.1506
2.1283,183.0663,0.0864,102.8053,1.0461,3.7659,1.0461,0.0024,0.0003,265.7240,-1.8240,-0.1066,0.5073,0.3001,-0.2664,-15.9831,0.0000,0.4927,1.0000,1,1,0,0,0,25.1359
2.1800,183.0124,0.0864,102.8010,1.0461,3.7659,1.0461,0.0024,0.0000,265.6076,-2.2513,-0.1066,0.5073,0.3001,-0.2664,-15.9831,0.0000,0.4927,1.0000,1,1,0,0,0,25.1597
2.2305,182.9597,0.0864,102.7967,1.0461,3.7659,1.0461,0.0024,-0.0001,265.5144,-1.8429,-0.1066,0.5073,0.3001,-0.2664,-15.9831,0.0000,0.4927,1.0000,1,1,0,0,0,25.1369
2.2808,182.9073,0.0864,102.7923,1.0461,3.7658,1.0461,0.0024,-0.0001,265.3981,-2.3129,-0.1066,0.5073,0.3001,-0.2664,-15.9831,0.0000,0.4927,1.0000,1,1,0,0,0,25.1631
2.3372,182.8485,0.0864,102.7873,1.0460,3.7658,1.0460,0.0024,-0.0004,265.2817,-2.0637,-0.1066,0.5073,0.3001,-0.2664,-15.9831,0.0000,0.4927,1.0000,1,1,0,0,0,25.1493
2.3967,182.7865,0.0864,102.7819,1.0460,3.7657,1.0460,0.0024,0.0000,265.1653,-1.9566,-0.1066,0.5073,0.3001,-0.2664,-15.9831,0.0000,0.4927,1.0000,1,1,0,0,0,25.1432
2.4566,182.7241,0.0864,102.7763,1.0460,3.7657,1.0460,0.0024,-0.0001,265.0257,-2.3295,-0.1066,0.5073,0.3001,-0.2664,-15.9831,0.0000,0.4927,1.0000,1,1,0,0,0,25.1641
2.5115,182.6669,0.0864,102.7711,1.0460,3.7658,1.0460,0.0024,0.0002,264.9093,-2.1213,-0.1066,0.5073,0.3001,-0.2664,-15.9831,0.0000,0.4927,1.0000,1,1,0,0,0,25.1526
2.5807,182.5948,0.0864,102.7643,1.0460,3.7657,1.0460,0.0024,-0.0002,264.7697,-2.0194,-0.1066,0.5073,0.3001,-0.2664,-15.9831,0.0000,0.4927,1.0000,1,1,0,0,0,25.1468
2.6331,182.5403,0.0864,102.7591,1.0461,3.7660,1.0461,0.0024,0.0013,264.6533,-2.2201,-0.1066,0.5073,0.3001,-0.2664,-15.9831,0.0000,0.4927,1.0000,1,1,0,0,0,25.1580
2.6845,182.4868,0.0864,102.7538,1.0461,3.7658,1.0461,0.0024,-0.0009,264.5601,-1.8105,-0.1066,0.5073,0.3001,-0.2664,-15.9831,0.0000,0.4927,1.0000,1,1,0,0,0,25.1351
