time,position_x,position_y,position_z,speed_ms,speed_kmh,forward_speed,sideways_speed,acceleration_ms2,yaw,yaw_rate,raw_steer_x,raw_throttle_y,raw_brake_z,steer_input,handlebar_angle,steer_rate,throttle,brake,is_grounded,harsh_brake,harsh_steer,high_side_slip,high_yaw_rate,risk_score
0.1161,185.2042,0.1447,102.8923,0.0000,0.0000,0.0000,0.0000,0.0000,270.0000,0.0000,-0.0440,-0.1613,0.3529,-0.2291,0.0000,0.0000,0.0000,0.5750,1,0,0,0,0,2.8748
0.1727,185.2042,0.0867,102.8923,0.0002,0.0006,0.0000,0.0002,0.0029,270.0010,0.0183,-0.0440,-0.1613,0.3529,-0.2657,-13.7482,242.8092,0.0000,0.6138,1,0,0,0,0,13.0700
0.2282,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,-0.0017,270.0014,0.0066,-0.0440,-0.1613,0.3529,-0.2814,-15.8868,38.4902,0.0000,0.6294,1,0,0,0,0,5.2858
0.2832,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0018,0.0067,-0.0440,-0.1613,0.3529,-0.2882,-16.4289,9.8652,0.0000,0.6357,1,0,0,0,0,3.7270
0.3350,185.2042,0.0864,102.8923,0.0001,0.0003,0.0000,0.0001,0.0000,270.0022,0.0083,-0.0440,-0.1613,0.3529,-0.2911,-16.8683,8.4848,0.0000,0.6382,1,0,0,0,0,3.6630
0.3869,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0025,0.0059,-0.0440,-0.1613,0.3529,-0.2922,-17.2395,7.1506,0.0000,0.6391,1,0,0,0,0,3.5931
0.4467,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0030,0.0082,-0.0440,-0.1613,0.3529,-0.2929,-17.4091,2.8335,0.0000,0.6397,1,0,0,0,0,3.3562
0.5402,185.2042,0.0864,102.8923,0.0001,0.0003,0.0000,0.0001,0.0000,270.0036,0.0065,-0.0440,-0.1613,0.3529,-0.2932,-17.5006,0.9798,0.0000,0.6399,1,0,0,0,0,3.2541
0.6010,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0041,0.0080,-0.0440,-0.1613,0.3529,-0.2932,-17.5688,1.1224,0.0000,0.6399,1,0,0,0,0,3.2624
0.6533,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0043,0.0041,-0.0440,-0.1613,0.3529,-0.2933,-17.5822,0.2549,0.0000,0.6399,1,0,0,0,0,3.2140
0.7048,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0046,0.0053,-0.0440,-0.1613,0.3529,-0.2933,-17.5884,0.1199,0.0000,0.6399,1,0,0,0,0,3.2066
0.7660,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0049,0.0060,-0.0440,-0.1613,0.3529,-0.2933,-17.5927,0.0716,0.0000,0.6399,1,0,0,0,0,3.2040
0.8216,185.2042,0.0864,102.8923,0.0001,0.0003,0.0000,0.0001,0.0000,270.0052,0.0055,-0.0440,-0.1613,0.3529,-0.2933,-17.5948,0.0367,0.0000,0.6399,1,0,0,0,0,3.2020
0.8727,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0055,0.0048,-0.0440,-0.1613,0.3529,-0.2933,-17.5957,0.0177,0.0000,0.6399,1,0,0,0,0,3.2009
0.9246,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0058,0.0059,-0.0440,-0.1613,0.3529,-0.2933,-17.5961,0.0085,0.0000,0.6399,1,0,0,0,0,3.2005
0.9755,185.2043,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0060,0.0048,-0.0440,-0.1613,0.3529,-0.2933,-17.5964,0.0052,0.0000,0.6399,1,0,0,0,0,3.2002
1.0416,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0064,0.0055,-0.0440,-0.1613,0.3529,-0.2933,-17.5965,0.0022,0.0000,0.6399,1,0,0,0,0,3.2001
1.0919,185.2042,0.0864,102.8923,0.0001,0.0003,0.0000,0.0001,0.0000,270.0067,0.0061,-0.0440,-0.1613,0.3529,-0.2933,-17.5966,0.0018,0.0000,0.6399,1,0,0,0,0,3.2001
1.1492,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0070,0.0053,-0.0440,-0.1613,0.3529,-0.2933,-17.5967,0.0005,0.0000,0.6399,1,0,0,0,0,3.2000
1.2023,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0073,0.0046,-0.0440,-0.1613,0.3529,-0.2933,-17.5967,0.0003,0.0000,0.6399,1,0,0,0,0,3.1999
1.2541,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0075,0.0041,-0.0440,-0.1613,0.3529,-0.2933,-17.5967,0.0002,0.0000,0.6399,1,0,0,0,0,3.1999
1.3108,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0078,0.0059,-0.0440,-0.1613,0.3529,-0.2933,-17.5967,0.0000,0.0000,0.6399,1,0,0,0,0,3.2000
1.3617,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0080,0.0036,-0.0440,-0.1613,0.3529,-0.2933,-17.5967,0.0000,0.0000,0.6399,1,0,0,0,0,3.1999
1.4238,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0083,0.0054,-0.0440,-0.1613,0.3529,-0.2933,-17.5967,0.0000,0.0000,0.6399,1,0,0,0,0,3.2000
1.4837,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0086,0.0046,-0.0440,-0.1613,0.3529,-0.2933,-17.5967,0.0000,0.0000,0.6399,1,0,0,0,0,3.1999
1.5607,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0090,0.0048,-0.0440,-0.1613,0.3529,-0.2933,-17.5967,0.0000,0.0000,0.6399,1,0,0,0,0,3.1999
1.6203,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0092,0.0046,-0.0440,-0.1613,0.3529,-0.2933,-17.5967,0.0000,0.0000,0.6399,1,0,0,0,0,3.1999
1.6743,185.2043,0.0864,102.8923,0.0001,0.0003,0.0000,0.0001,0.0000,270.0095,0.0045,-0.0440,-0.1613,0.3529,-0.2933,-17.5967,0.0000,0.0000,0.6399,1,0,0,0,0,3.1999
1.7259,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0097,0.0041,-0.0440,-0.1613,0.3529,-0.2933,-17.5967,0.0000,0.0000,0.6399,1,0,0,0,0,3.1999
1.7779,185.2042,0.0864,102.8924,0.0001,0.0003,0.0000,0.0001,0.0000,270.0100,0.0059,-0.0440,-0.1613,0.3529,-0.2933,-17.5967,0.0000,0.0000,0.6399,1,0,0,0,0,3.2000
